"Country","Animal Products"
"Afghanistan",67.42
"Albania",473.16
"Algeria",153.89
"Angola",56.27
"Antigua and Barbuda",210.99
"Argentina",300.48
"Armenia",273.02
"Australia",388.43
"Austria",364.56
"Azerbaijan",184.42
"Bahamas",129.76
"Bangladesh",50.05
"Barbados",152.53
"Belarus",247.12
"Belgium",360.2
"Belize",102.29
"Benin",53.81
"Bolivia (Plurinational State of)",131.2
"Bosnia and Herzegovina",246.58
"Botswana",154.61
"Brazil",267.31
"Bulgaria",250.98
"Burkina Faso",46.5
"Cabo Verde",102.18
"Cambodia",61.26
"Cameroon",40.11
"Canada",296.36
"Central African Republic",66.36
"Chad",84.37
"Chile",203.39
"China",152.11
"China, Hong Kong SAR",294.19
"China, Macao SAR",217.86
"China, mainland",151.3
"China, Taiwan Province of",155.37
"Colombia",201.66
"Congo",75.06
"Costa Rica",258.9
"C̫te d'Ivoire",37.64
"Croatia",352.78
"Cuba",169.09
"Cyprus",221.52
"Czechia",309.55
"Democratic People's Republic of Korea",33.44
"Denmark",446.7
"Djibouti",47.65
"Dominica",176.04
"Dominican Republic",177.38
"Ecuador",173
"Egypt",100.74
"El Salvador",149.35
"Estonia",460.87
"Eswatini",78.93
"Ethiopia",38.32
"Fiji",114.74
"Finland",590.56
"France",409.67
"French Polynesia",194.86
"Gabon",112.13
"Gambia",71.23
"Georgia",188.61
"Germany",393.36
"Ghana",49.27
"Greece",335.21
"Grenada",127.42
"Guatemala",95.38
"Guinea",43.77
"Guinea-Bissau",38.47
"Guyana",163.33
"Haiti",32.19
"Honduras",128.33
"Hungary",306.78
"Iceland",471.48
"India",120.36
"Indonesia",70.97
"Iran (Islamic Republic of)",119.05
"Iraq",47.56
"Ireland",364.37
"Israel",330.63
"Italy",358.61
"Jamaica",163.07
"Japan",177.4
"Jordan",91.4
"Kazakhstan",360.31
"Kenya",105.18
"Kiribati",111.72
"Kuwait",147.53
"Kyrgyzstan",251.71
"Lao People's Democratic Republic",65.01
"Latvia",353.79
"Lebanon",99.33
"Lesotho",47.04
"Liberia",28.48
"Lithuania",494.26
"Luxembourg",288.94
"Madagascar",41.47
"Malawi",37.83
"Malaysia",136.13
"Maldives",146.68
"Mali",125.85
"Malta",242.24
"Mauritania",137.23
"Mauritius",100.39
"Mexico",225.65
"Mongolia",282.71
"Montenegro",496.01
"Morocco",118.71
"Mozambique",40.49
"Myanmar",158.25
"Namibia",109.29
"Nepal",75.02
"Netherlands",459.3
"New Caledonia",137.72
"New Zealand",259.19
"Nicaragua",130.59
"Niger",72.66
"Nigeria",21.91
"North Macedonia",213.6
"Norway",396.34
"Oman",191.78
"Pakistan",209.27
"Panama",161.02
"Paraguay",150.62
"Peru",120.57
"Philippines",77.06
"Poland",302.84
"Portugal",388.61
"Republic of Korea",188.86
"Republic of Moldova",193.21
"Romania",333.78
"Russian Federation",286.58
"Rwanda",38.26
"Saint Kitts and Nevis",147.95
"Saint Lucia",165.64
"Saint Vincent and the Grenadines",145.89
"Samoa",186.08
"Sao Tome and Principe",50.62
"Saudi Arabia",142.01
"Senegal",46.95
"Serbia",249.52
"Sierra Leone",59.73
"Slovakia",261.4
"Slovenia",347.34
"Solomon Islands",50.81
"South Africa",131.8
"Spain",343.91
"Sri Lanka",56.55
"Sudan",132.77
"Suriname",79.08
"Sweden",447.07
"Switzerland",416.98
"Tajikistan",78.3
"Thailand",86.33
"Timor-Leste",42.91
"Togo",32.67
"Trinidad and Tobago",130.86
"Tunisia",166.44
"Turkey",231.33
"Turkmenistan",220.95
"Uganda",60.95
"Ukraine",224.49
"United Arab Emirates",132.44
"United Kingdom",341.39
"United Republic of Tanzania",56.03
"United States of America",420.67
"Uruguay",272.53
"Uzbekistan",266.96
"Vanuatu",86.9
"Venezuela (Bolivarian Republic of)",157.62
"Viet Nam",122.38
"Yemen",35.01
"Zambia",42.86
"Zimbabwe",55.08
